type, lepton.pt(), lepton.eta(), lepton.phi(), b_jet.pt(), b_jet.eta(), b_jet.phi(), etmiss.et(), etmiss.phi(), InvMass, TransMass, lepton.isTruth()
1, 1.125475e+02, -1.759255e+00, 3.020207e+00, 4.826709e+01, 1.354938e+00, -1.600394e+00, 4.849398e+01, -2.964212e+00, 3.518978e+02, 2.199008e+01, 1
1, 3.992445e+01, -3.685753e-01, -5.934958e-01, 1.672372e+02, -5.834601e-01, -1.811616e+00, 2.840685e+02, -1.612269e+00, 9.691610e+01, 1.038632e+02, 1
1, 8.732375e+01, 1.812441e+00, -2.324656e+00, 1.148425e+02, 2.113128e+00, 2.774716e+00, 1.260795e+02, 2.610639e+00, 1.175681e+02, 1.309647e+02, 1
1, 1.551037e+02, -1.123130e+00, -1.575838e+00, 8.578970e+01, 1.402513e+00, 1.175605e+00, 9.646184e+01, -2.423790e+00, 4.385780e+02, 1.006399e+02, 1
1, 1.401612e+02, 1.540713e+00, 2.044463e+00, 2.042698e+02, -7.013361e-01, -1.602752e+00, 3.436488e+02, 1.791675e+00, 5.682903e+02, 5.533122e+01, 1
1, 1.816013e+02, 1.662910e+00, -2.821615e+00, 1.367538e+02, -1.426002e+00, 7.021812e-01, 3.279692e+01, 2.310574e+00, 7.700755e+02, 8.400525e+01, 1
1, 8.647986e+01, -2.140519e+00, 5.235475e-01, 1.626856e+02, -1.250902e+00, 1.975077e-01, 4.170678e+01, 6.946372e-01, 1.186183e+02, 1.026254e+01, 1
1, 1.075164e+02, 1.344735e-01, 2.993405e+00, 6.829506e+02, 2.152375e-02, 2.563921e+00, 1.078346e+02, 6.769845e-01, 1.246588e+02, 1.972800e+02, 1
1, 4.077975e+02, 1.684062e+00, 3.129543e+00, 4.029818e+01, 2.205559e+00, -3.121597e+00, 3.055429e+01, -1.041814e+00, 6.904325e+01, 1.943044e+02, 1
1, 2.981197e+02, -1.035894e+00, 2.104522e+00, 2.329162e+02, -4.345416e-01, -1.388309e+00, 2.338196e+02, 2.025323e+00, 5.446409e+02, 2.090437e+01, 1
1, 2.303983e+02, -2.316768e-01, -2.371615e+00, 2.908788e+02, -3.971244e-01, -2.006966e+00, 3.725972e+02, -2.335162e+00, 1.057225e+02, 1.067987e+01, 1
1, 2.410813e+02, 9.375985e-01, -2.352016e+00, 1.033271e+02, -1.601500e+00, 1.512567e+00, 4.651037e+01, 2.142021e+00, 5.958850e+02, 1.651769e+02, 1
1, 3.374112e+02, -2.054193e-01, -2.201852e+00, 6.134919e+01, -7.949653e-02, -1.259527e+00, 1.897610e+02, -2.018924e+00, 1.340596e+02, 4.622280e+01, 1
1, 6.454427e+01, -7.127892e-01, 1.167691e-01, 2.035962e+02, -3.477613e-01, -1.129408e+00, 9.562527e+01, -2.557385e+00, 1.418211e+02, 1.528530e+02, 1
1, 5.051286e+01, -1.774553e+00, 2.983859e-01, 1.019217e+02, -1.953864e+00, 1.798275e+00, 8.667592e+01, 1.348804e+00, 9.949072e+01, 6.635283e+01, 1
1, 4.149804e+01, -4.703915e-01, -3.022006e+00, 1.063902e+02, 1.486249e+00, -1.092600e+00, 3.111096e+02, 2.645018e+00, 1.878144e+02, 6.890854e+01, 1
1, 3.802947e+01, 6.936699e-01, -1.433910e+00, 2.400151e+02, 1.445776e+00, -1.212195e+00, 7.339895e+01, -1.679405e+00, 8.017967e+01, 1.293766e+01, 1
1, 7.465300e+02, 4.343368e-01, 1.156537e+00, 2.734131e+02, 1.434508e+00, -2.049688e+00, 3.185537e+02, -1.742333e+00, 1.019375e+03, 9.681414e+02, 1
1, 8.441665e+01, 3.323483e-02, -3.044589e+00, 5.443314e+02, 3.276197e-01, 2.825581e+00, 2.871965e+02, -3.147369e-01, 1.271345e+02, 3.048348e+02, 1
1, 1.910638e+02, 1.224565e+00, -2.802442e+00, 6.334841e+01, -6.976545e-01, 9.912024e-01, 3.904398e+02, -2.541036e+00, 3.231283e+02, 7.119417e+01, 1
1, 3.156296e+01, 2.492169e-02, 2.232805e+00, 5.379321e+01, 1.379412e+00, -9.314617e-01, 4.256483e+02, 2.418962e+00, 1.024342e+02, 2.154596e+01, 1
1, 3.795023e+02, 1.398376e+00, -1.834719e+00, 2.023140e+02, 1.004714e+00, -1.676933e+00, 8.603172e+01, 1.211809e+00, 1.263056e+02, 3.609738e+02, 1
1, 2.897758e+02, 8.363256e-01, 4.444025e-01, 5.113574e+01, 1.337451e+00, -5.712145e-01, 1.292899e+02, 2.397238e-01, 1.349429e+02, 3.954828e+01, 1
1, 1.287347e+02, 1.178010e+00, 3.089600e+00, 7.895975e+01, 1.684106e-01, -3.085827e+00, 1.906548e+02, -3.031569e+00, 1.088149e+02, 2.535450e+01, 1
1, 1.514430e+02, -8.611215e-01, 5.331233e-01, 1.022115e+02, 1.391576e+00, -2.660341e+00, 1.972894e+02, 7.704734e-01, 4.244202e+02, 4.093041e+01, 1
1, 1.643681e+02, 1.197504e+00, 6.887177e-01, 4.395478e+02, 1.431149e+00, 1.149211e+00, 2.286098e+02, 1.243841e+00, 1.487109e+02, 1.062319e+02, 1
1, 2.141826e+02, 7.558037e-01, 1.393200e+00, 3.034976e+02, 5.475984e-01, 1.783517e+00, 4.685130e+02, 1.603428e+00, 1.182021e+02, 6.647271e+01, 1
1, 2.200838e+02, 1.182911e-01, 2.242711e+00, 2.229865e+02, 2.336378e-01, 1.756493e+00, 4.803357e+02, 2.002674e+00, 1.145170e+02, 7.785776e+01, 1
1, 8.530060e+01, -7.291076e-01, 1.842965e+00, 5.822565e+01, -2.424193e-01, 2.667452e+00, 2.284551e+02, 2.148037e+00, 6.950396e+01, 4.242226e+01, 1
1, 5.105100e+01, -2.195963e+00, -1.508652e+00, 5.362024e+01, -1.611650e+00, 1.995182e-01, 1.754330e+02, -1.152321e+00, 8.562919e+01, 3.354371e+01, 1
1, 9.445609e+01, 5.864657e-01, 1.650728e+00, 5.523872e+02, 6.120745e-01, 1.103429e+00, 4.296173e+02, 1.240543e+00, 1.246946e+02, 8.205154e+01, 1
1, 6.545341e+02, -4.695344e-02, -2.829207e+00, 8.911189e+02, -2.131017e-01, 4.798169e-01, 1.046172e+02, -2.730650e+00, 1.540740e+03, 2.577979e+01, 1
1, 3.585647e+02, 6.717608e-01, -2.686059e+00, 6.879765e+01, -1.920281e-01, -2.944272e+00, 1.328076e+02, -2.953287e+00, 1.477374e+02, 5.814130e+01, 1
1, 3.108663e+02, 8.119702e-01, -2.086267e+00, 1.231041e+02, 4.080595e-01, -2.016487e+00, 1.473327e+02, -2.712810e+00, 8.363785e+01, 1.319046e+02, 1
1, 2.592962e+02, 1.184321e+00, -8.227395e-01, 4.158535e+02, 9.122283e-01, -4.895659e-01, 1.020252e+02, 2.573194e+00, 1.509116e+02, 3.226715e+02, 1
1, 3.502357e+02, -5.362093e-01, -1.142740e+00, 1.113917e+02, -6.674231e-01, 2.173841e+00, 4.530464e+02, -1.039690e+00, 3.944998e+02, 4.103045e+01, 1
1, 2.128225e+02, -8.914618e-01, -8.215447e-01, 2.200682e+02, -6.851335e-01, -1.227659e+00, 3.649204e+02, 1.295514e+00, 1.008420e+02, 4.858171e+02, 1
